Move to 25, push out 10.
Move to 22, push out 33.
Move to 26, push out 18.
Move to 29, push out 25.
Move to 27, push out 34.
Move to 28, push out 19.
Move to 20, push out 26.
Move to 21, push out 12.
Move to 29, push out 2.
Move to 30, push out 28.
Move to 22, push out 42.
Move to 23, push out 13.
Move to 30, push out 31.
Move to 14, push out 37.
Move to 39, push out 21.
Move to 15, push out 47.
Move to 30, push out 22.
Move to 6, push out 29.
Move to 39, push out 7.
Move to 5, push out 38.
Move to 30, push out 6.
Move to 14, push out 39.
Move to 23, push out 5.
Move to 15, push out 30.
Move to 14, push out 0.
Move to 23, push out 4.
Move to 15, push out 1.
Move to 14, push out 23.
